ID,Brand,Name,Price,Old Price,Link,ImageLink,CPU,Display,RAM,Graphics Card,Storage,OS,Battery,Weight
110,HP,HP 15s-fq5104TU,19.890.000₫,null,https://phongvu.vn/laptop-hp-15s-fq5104tu6k7e4pa-i7-1255u--s220609876,https://lh3.googleusercontent.com/Ue4X5jP2gcBoRluscfVC2ywI9zfb_6AK4T3WfhdiM8_OJkI79rehZzBwDQD8-ZaYRExU1R2pJSVIgmF37xW4ljR5PPeek2te=w500-rw,Intel Core i7-1255U,"15.6"" IPS (1366 x 768)",2 x 4GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.7kg,1.7kg
111,HP,HP Pavilion 14-dv2035TU,17.990.000₫,null,https://phongvu.vn/hp-pavilion-14-dv2035tu-6k771pa--s220609881,https://lh3.googleusercontent.com/QPBXH8OzLFgRzmOGvXDh6oRF01ungHwRNW6FUwm53MGZTCwbFYwCK5r84A4BafHu9aVwkW-gcW3lefOPaHzSALwQZw03eHpDWQ=w500-rw,Intel Core i5-1235U,"14"" IPS (1920 x 1080)",2 x 4GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,256GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.4kg,1.4kg
112,HP,HP Pavilion 14-dv2036TU,17.990.000₫,null,https://phongvu.vn/pavilion-14-dv2036tu-6k772pa--s220609882,https://lh3.googleusercontent.com/1U37-zRWGyqq8aAM2BdFc-POb6srd9wPbBH3T5KfVrFELGFTH1C9xPZ-YjfsUo74AZO3bHSWa0yHLzntOP8qgjNWnMKNkdI=w500-rw,Intel Core i5-1235U,"14"" IPS (1920 x 1080)",2 x 4GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,256GB SSD M.2 NVMe /,Windows 11 Home,- Khối lượng: 1.4kg,1.4kg
113,HP,HP Pavilion 15-eg2057TU,18.190.000₫,18.990.000₫,https://phongvu.vn/laptop-hp-pavilion-15-eg2057tu-6k787pa--s220610033,https://lh3.googleusercontent.com/Jkkykb5qmWR9Y0UKN1SxJfg5nWREQ3YM34970NADgGlhkl20bU5du5C4cgQPK-U_61U0kt9BlFNoGkuvzYPN3tDUXqB_s7BO=w500-rw,Intel Core i5-1240P,"15.6"" IPS (1920 x 1080)",2 x 4GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home SL,- Khối lượng: 1.7kg,1.7kg
114,HP,HP Pavilion 15-eg2056TU,18.190.000₫,18.990.000₫,https://phongvu.vn/laptop-hp-pavilion-15-eg2056tu-6k786pa--s220610040,https://lh3.googleusercontent.com/wAB6EeGBjo3qDRv-RMNzD4nJTPcgdx2von5IMlVdQfEBkBLMPQ49wpeqIbBwshTAUNWaayKKXwgpw52KckjSu9yxQecWtRKV=w500-rw,Intel Core i5-1240P,"15.6"" IPS (1920 x 1080)",2 x 4GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home SL,- Khối lượng: 1.7kg,1.7kg
115,HP,HP Pavilion 15-eg2063TU,14.990.000₫,null,https://phongvu.vn/laptop-hp-pavilion-15-eg2063tu-6k791pa--s220610042,https://lh3.googleusercontent.com/A8-1MxP0QB5YGlIJaDkwwJ6XhgK4MVy29irC7ec6Qlv7D6LLPYBirYsBUJtJ7Y5rPX7NUtf6Z7FQJwtWf_0V3Kyu-5nMWFj7Ww=w500-rw,Intel Core i3-1215U,"15.6"" IPS (1920 x 1080)",2 x 4GB DDR4 3200MHz,Onboard Intel UHD Graphics,256GB SSD M.2 NVMe /,Windows 11 Home SL,- Khối lượng: 1.7kg,1.7kg
116,HP,HP Pavilion 15-eg2066TU,23.090.000₫,24.190.000₫,https://phongvu.vn/laptop-hp-pavilion-15-eg2066tu-6k7e2pa--s220610043,https://lh3.googleusercontent.com/BYJ23hMcXvbvf46xPFF3zCouWLzA-xiJi0K-UmxRuEW63RaUZzAxy2_QSApmmExiRocoeZ2bnGY9SpQR51cbr-cxbb8LpDDf=w500-rw,Intel Core i7 1260P,"15.6"" IPS (1920 x 1080)",2 x 8GB DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home SL,- Khối lượng: 1.7kg,1.7kg
117,HP,HP Pavilion X360 14-ek0057TU,20.090.000₫,20.990.000₫,https://phongvu.vn/laptop-hp-pavilion-x360-14-ek0057tu-6k7e0pa--s220610045,https://lh3.googleusercontent.com/RreKz5YCCv3lwzWcSkP-3BQhzQsehOyYTI6-MNq3E9rh2S_8gR3XKYtcjLswqd4SOVmsDDe8Sg0ybGBv0nIENPMhRKvJjJmw=w500-rw,Intel Core i5-1235U,"14"" IPS (1920 x 1080)",8GB Onboard DDR4 3200MHz,Onboard Intel Iris Xe Graphics,512GB SSD M.2 NVMe /,Windows 11 Home SL,- Khối lượng: 1.5kg,1.5kg
118,MacBook,MacBook Air 2022 13.6 inch MLXY3SA/A,28.890.000₫,31.900.000₫,https://phongvu.vn/macbook-air-m2-mlxy3sa-a--s220700049,https://lh3.googleusercontent.com/F5_PrzcDuU7Xqk7x62knPZ1uweLkWieBzECDz2dKR3H3BtTkqt4T50Ri28cAZ_vWElHJttLc1laWj3FInWiaDnm1ETtD0NzFWA=w500-rw,Apple M2 chip,"13.6"" IPS (2560 x 1664)",8GB,Onboard,256GB SSD /,macOS,- Khối lượng: 1.3kg,1.3kg
119,MacBook,MacBook Air 2022 13.6 inch MLXX3SA/A,39.900.000₫,null,https://phongvu.vn/macbook-air-m2-mlxx3sa-a--s220700052,https://lh3.googleusercontent.com/7WSOATEYnO5NEOegdC_N9_4VPzTPvM-vSLTZ1nWtRR8wO4ROc1G_83QkLw8EjqIuVmWovIzMLE3fcakwuCXu4r9ZNXqEx7E=w500-rw,Apple M2 chip,"13.6"" IPS (2560 x 1664)",8GB,Onboard,512GB SSD /,macOS,- Khối lượng: 1.3kg,1.3kg
120,MacBook,MacBook Air 2022 13.6 inch MLY03SA/A,39.900.000₫,null,https://phongvu.vn/macbook-air-m2-mly03sa-a--s220700053,https://lh3.googleusercontent.com/v9LBU-rkFVpLZmVQXE9peIUmqaSI6rqBh5BOwAnKHkRZkYbnooWdPb1g1fXSTUzOVPgpqVffGfb77AnUQlTvjKA89Kui9_GZJA=w500-rw,Apple M2 chip,"13.6"" IPS (2560 x 1664)",8GB,Onboard,512GB SSD /,macOS,- Khối lượng: 1.3kg,1.3kg
